iter	RMSE
0	14.53783878
1	14.08811416
2	13.74065631
3	13.414038
4	13.06892218
5	12.69673706
6	12.34819214
7	12.05909522
8	11.7080225
9	11.41740496
10	11.09551109
11	10.78807418
12	10.52822585
13	10.26440313
14	10.01880537
15	9.805808074
16	9.565419234
17	9.361655095
18	9.154880782
19	8.961730602
20	8.777116019
21	8.610609571
22	8.445785881
23	8.300644476
24	8.174301064
25	8.026595697
26	7.888693201
27	7.761201893
28	7.660754652
29	7.549858298
30	7.446802239
31	7.349689278
32	7.247118014
33	7.162928227
34	7.089418762
35	7.013944957
36	6.94460134
37	6.879703161
38	6.810161648
39	6.756170855
40	6.68966741
41	6.624633608
42	6.569049208
43	6.516178768
44	6.474115095
45	6.423297177
46	6.37036361
47	6.329387407
48	6.288659147
49	6.245472938
50	6.208735081
51	6.175901343
52	6.137353144
53	6.097298515
54	6.06256553
55	6.028432772
56	5.999255234
57	5.971265749
58	5.956042735
59	5.933581945
60	5.90412505
61	5.884836145
62	5.868708258
63	5.843815339
64	5.821178876
65	5.804281228
66	5.786423134
67	5.771204136
68	5.753591606
69	5.733356968
70	5.719645944
71	5.706468141
72	5.689858484
73	5.676970834
74	5.663293063
75	5.650882127
76	5.641212771
77	5.62988858
78	5.611674249
79	5.600846739
80	5.589998851
81	5.577298521
82	5.566360917
83	5.551035317
84	5.538986822
85	5.529650522
86	5.520456765
87	5.509772432
88	5.500219968
89	5.493856428
90	5.487364309
91	5.476728288
92	5.469619651
93	5.464193148
94	5.456455408
95	5.452748597
96	5.440875554
97	5.435068165
98	5.425954855
99	5.416390994
100	5.406084504
101	5.396632749
102	5.389646632
103	5.381568289
104	5.37674874
105	5.371370246
106	5.367963518
107	5.362164653
108	5.350560893
109	5.343390861
110	5.33619275
111	5.331047972
112	5.325320154
113	5.317308385
114	5.313418448
115	5.305853008
116	5.301892648
117	5.298992612
118	5.295197126
119	5.287548891
120	5.283414291
121	5.28283573
122	5.282271554
123	5.276670514
124	5.268671523
125	5.262152518
126	5.256254517
127	5.252024402
128	5.245669977
129	5.243277752
130	5.240467233
131	5.236211541
132	5.23432097
133	5.22760019
134	5.224373343
135	5.222319289
136	5.218158131
137	5.213973397
138	5.210827044
139	5.206851315
140	5.199777628
141	5.195637416
142	5.192629529
143	5.191178546
144	5.189538824
145	5.185381472
146	5.184173204
147	5.176512333
148	5.171269545
149	5.165460686
150	5.160758919
151	5.158357986
152	5.15518752
153	5.151954889
154	5.148796581
155	5.146503684
156	5.142610432
157	5.137391066
158	5.135315616
159	5.129694349
160	5.125278683
161	5.123189428
162	5.120101443
163	5.117038881
164	5.114673143
165	5.111860255
166	5.110242478
167	5.106803211
168	5.10499642
169	5.100641175
170	5.098190274
171	5.095347
172	5.093158267
173	5.091158322
174	5.088408701
175	5.082237159
176	5.077524477
177	5.073321925
178	5.071333776
179	5.069606195
180	5.067893666
181	5.064748339
182	5.063113964
183	5.058378711
184	5.052999052
185	5.050378652
186	5.048302422
187	5.044645388
188	5.043106853
189	5.040808247
190	5.036480872
191	5.034360101
192	5.030758653
193	5.029054096
194	5.027404801
195	5.025728851
196	5.020305272
197	5.017722654
198	5.015057978
199	5.010295285
