iter	Passed	Remaining
0	0	135
1	1	116
2	1	107
3	2	101
4	2	98
5	2	95
6	3	93
7	3	91
8	4	90
9	4	89
10	5	88
11	5	87
12	6	86
13	6	87
14	7	87
15	7	86
16	8	86
17	8	86
18	9	87
19	9	87
20	10	88
21	10	87
22	11	88
23	12	88
24	12	89
25	13	89
26	13	89
27	14	90
28	15	91
29	16	93
30	17	93
31	18	95
32	19	99
33	20	100
34	21	100
35	23	105
36	24	106
37	24	105
38	25	104
39	26	104
40	26	103
41	27	101
42	27	100
43	28	99
44	28	98
45	29	97
46	29	96
47	30	95
48	30	94
49	31	93
50	31	92
51	32	91
52	32	90
53	33	89
54	33	88
55	34	88
56	34	87
57	35	86
58	35	85
59	36	84
60	36	83
61	37	83
62	38	82
63	38	82
64	39	81
65	40	82
66	41	81
67	41	81
68	42	80
69	43	80
70	44	80
71	44	79
72	45	78
73	45	78
74	46	78
75	47	77
76	48	76
77	48	76
78	49	76
79	50	75
80	50	74
81	51	74
82	52	73
83	52	73
84	53	72
85	54	72
86	54	71
87	55	70
88	56	69
89	56	69
90	57	68
91	57	67
92	58	67
93	58	66
94	59	65
95	60	65
96	61	64
97	61	64
98	62	63
99	62	62
100	63	61
101	63	61
102	64	60
103	64	59
104	65	58
105	65	58
106	66	57
107	66	56
108	67	56
109	67	55
110	68	54
111	68	53
112	69	53
113	69	52
114	69	51
115	70	50
116	70	50
117	71	49
118	71	48
119	72	48
120	72	47
121	73	46
122	73	46
123	74	45
124	74	44
125	75	44
126	75	43
127	76	43
128	77	42
129	77	41
130	78	41
131	79	40
132	79	40
133	80	39
134	80	38
135	81	38
136	81	37
137	82	36
138	82	36
139	83	35
140	83	34
141	84	34
142	84	33
143	84	33
144	85	32
145	85	31
146	86	31
147	86	30
148	87	29
149	87	29
150	88	28
151	88	28
152	89	27
153	89	26
154	90	26
155	90	25
156	91	24
157	91	24
158	92	23
159	93	23
160	93	22
161	94	22
162	94	21
163	94	20
164	95	20
165	95	19
166	96	19
167	96	18
168	97	17
169	97	17
170	98	16
171	99	16
172	99	15
173	99	14
174	100	14
175	100	13
176	101	13
177	101	12
178	102	11
179	102	11
180	103	10
181	103	10
182	104	9
183	104	9
184	105	8
185	106	7
186	106	7
187	107	6
188	108	6
189	108	5
190	109	5
191	109	4
192	110	4
193	110	3
194	111	2
195	111	2
196	112	1
197	112	1
198	113	0
199	113	0
