iter	Passed	Remaining
0	137	137346
1	138	69184
2	140	46631
3	144	35936
4	147	29439
5	150	24872
6	152	21581
7	153	19047
8	155	17104
9	157	15610
10	160	14461
11	162	13340
12	163	12423
13	164	11603
14	165	10884
15	168	10332
16	170	9842
17	171	9348
18	172	8899
19	173	8494
20	174	8155
21	175	7821
22	176	7517
23	177	7236
24	178	6976
25	180	6745
26	181	6543
27	183	6374
28	185	6198
29	186	6044
30	188	5879
31	189	5725
32	190	5579
33	191	5438
34	193	5336
35	198	5307
36	200	5219
37	201	5111
38	203	5005
39	204	4904
40	205	4806
41	206	4713
42	207	4626
43	210	4567
44	212	4505
45	213	4429
46	215	4366
47	216	4302
48	218	4233
49	219	4163
50	220	4097
51	221	4040
52	223	3986
53	226	3971
54	229	3946
55	231	3899
56	235	3890
57	236	3844
58	237	3792
59	238	3744
60	242	3727
61	247	3744
62	248	3699
63	250	3658
64	251	3617
65	256	3631
66	258	3600
67	261	3578
68	262	3539
69	263	3499
70	265	3470
71	266	3433
72	280	3563
73	283	3541
74	313	3871
75	316	3848
76	319	3826
77	332	3932
78	346	4035
79	369	4254
80	372	4224
81	373	4183
82	374	4133
83	376	4100
84	377	4064
85	389	4144
86	400	4201
87	417	4326
88	420	4304
89	421	4265
90	423	4230
91	424	4190
92	425	4150
93	426	4112
94	431	4110
95	448	4222
96	451	4199
97	453	4172
98	454	4135
99	455	4100
100	456	4065
101	464	4085
102	471	4109
103	472	4074
104	474	4040
105	475	4009
106	476	3979
107	478	3949
108	482	3941
109	483	3910
110	486	3897
111	487	3867
112	489	3839
113	490	3813
114	493	3794
115	494	3767
116	495	3736
117	496	3709
118	497	3682
119	498	3656
120	499	3630
121	500	3603
122	501	3575
123	502	3548
124	503	3521
125	503	3495
126	504	3468
127	505	3445
128	506	3422
129	508	3400
130	509	3378
131	510	3356
132	511	3335
133	512	3313
134	514	3293
135	515	3273
136	516	3253
137	517	3233
138	519	3215
139	520	3195
140	521	3179
141	522	3157
142	523	3138
143	524	3119
144	525	3099
145	526	3082
146	527	3063
147	528	3043
148	529	3024
149	530	3005
150	531	2987
151	532	2968
152	533	2950
153	533	2932
154	534	2916
155	536	2900
156	537	2887
157	538	2871
158	539	2854
159	540	2839
160	541	2821
161	542	2805
162	543	2789
163	543	2773
164	544	2757
165	545	2742
166	547	2728
167	548	2714
168	549	2701
169	553	2700
170	554	2687
171	555	2674
172	556	2661
173	557	2647
174	558	2634
175	559	2621
176	560	2608
177	562	2595
178	562	2582
179	563	2568
180	564	2555
181	566	2543
182	567	2533
183	568	2520
184	569	2507
185	569	2494
186	570	2481
187	571	2468
188	572	2455
189	573	2443
190	573	2431
191	574	2418
192	575	2406
193	576	2393
194	577	2382
195	578	2371
196	579	2360
197	580	2350
198	581	2340
199	582	2330
200	583	2319
201	584	2307
202	585	2297
203	585	2286
204	586	2276
205	587	2265
206	588	2254
207	589	2244
208	590	2233
209	591	2223
210	592	2213
211	592	2203
212	593	2194
213	595	2186
214	596	2178
215	597	2169
216	598	2159
217	599	2149
218	600	2140
219	601	2131
220	601	2121
221	602	2111
222	603	2102
223	604	2092
224	604	2083
225	605	2074
226	606	2065
227	607	2056
228	608	2047
229	609	2038
230	610	2031
231	611	2024
232	612	2015
233	613	2007
234	614	1999
235	615	1991
236	616	1984
237	617	1976
238	618	1968
239	619	1960
240	619	1951
241	620	1943
242	621	1936
243	622	1928
244	623	1919
245	623	1911
246	624	1903
247	625	1896
248	626	1890
249	627	1882
250	628	1875
251	629	1867
252	630	1860
253	630	1852
254	631	1845
255	632	1838
256	633	1831
257	634	1824
258	635	1817
259	636	1810
260	637	1803
261	637	1796
262	638	1789
263	639	1782
264	640	1776
265	641	1770
266	642	1763
267	643	1757
268	644	1750
269	645	1744
270	646	1738
271	647	1731
272	648	1725
273	648	1719
274	649	1712
275	650	1706
276	651	1700
277	652	1694
278	653	1687
279	653	1681
280	654	1675
281	655	1668
282	656	1662
283	657	1656
284	658	1652
285	659	1647
286	660	1641
287	661	1635
288	662	1630
289	663	1624
290	664	1619
291	665	1613
292	666	1607
293	667	1602
294	667	1596
295	668	1590
296	669	1585
297	670	1579
298	671	1575
299	673	1571
300	674	1566
301	675	1562
302	676	1557
303	677	1551
304	678	1546
305	679	1542
306	680	1536
307	682	1532
308	683	1529
309	685	1524
310	686	1520
311	687	1515
312	688	1510
313	689	1506
314	690	1501
315	691	1496
316	692	1491
317	693	1487
318	695	1485
319	697	1481
320	698	1476
321	698	1471
322	700	1467
323	701	1464
324	702	1460
325	703	1455
326	704	1450
327	705	1446
328	707	1441
329	708	1438
330	709	1433
331	711	1431
332	712	1427
333	713	1423
334	715	1420
335	716	1416
336	718	1412
337	719	1408
338	720	1404
339	721	1399
340	722	1395
341	722	1390
342	723	1385
343	724	1381
344	725	1376
345	726	1372
346	727	1368
347	728	1364
348	729	1360
349	729	1355
350	730	1351
351	732	1347
352	733	1343
353	735	1341
354	736	1337
355	736	1333
356	738	1329
357	739	1325
358	740	1321
359	741	1317
360	742	1314
361	743	1310
362	744	1306
363	745	1302
364	747	1299
365	748	1295
366	749	1292
367	750	1289
368	751	1285
369	752	1281
370	753	1277
371	754	1273
372	755	1270
373	756	1266
374	757	1262
375	758	1258
376	759	1254
377	760	1251
378	761	1248
379	764	1247
380	765	1244
381	766	1240
382	767	1237
383	768	1233
384	769	1229
385	771	1226
386	771	1222
387	772	1218
388	773	1214
389	774	1211
390	775	1207
391	776	1204
392	777	1201
393	779	1198
394	780	1195
395	781	1191
396	781	1187
397	782	1183
398	783	1180
399	784	1176
400	785	1173
401	786	1169
402	787	1166
403	787	1162
404	788	1158
405	789	1155
406	790	1152
407	792	1149
408	793	1145
409	794	1143
410	795	1140
411	796	1136
412	797	1133
413	798	1130
414	799	1127
415	800	1124
416	801	1120
417	802	1117
418	803	1114
419	805	1111
420	806	1109
421	808	1106
422	809	1104
423	810	1100
424	811	1097
425	812	1095
426	813	1092
427	814	1089
428	815	1085
429	816	1082
430	818	1080
431	819	1077
432	820	1074
433	822	1072
434	823	1069
435	824	1065
436	825	1062
437	825	1059
438	826	1056
439	827	1053
440	828	1050
441	829	1047
442	830	1044
443	831	1040
444	832	1037
445	833	1034
446	834	1031
447	835	1028
448	835	1025
449	837	1023
450	838	1020
451	839	1018
452	840	1015
453	841	1011
454	842	1009
455	843	1006
456	844	1002
457	844	999
458	845	996
459	846	993
460	850	993
461	852	992
462	853	989
463	854	987
464	855	984
465	856	981
466	857	979
467	858	976
468	859	973
469	861	971
470	862	968
471	863	965
472	864	963
473	865	960
474	867	958
475	868	955
476	869	953
477	870	950
478	871	948
479	872	945
480	873	942
481	874	940
482	875	937
483	876	934
484	877	931
